id	PND	Forelimb_grasp	Forelimb_placing	Gait	Walk	Surface_T_(s)	NG_turn	NG_top	Auditory_startle	Tactile_startle	Air_righting	Wire	Weight_(g)	Ears_unfolding	Ears_twitch	Gait_b	Walk_b	Eyes_opened_left	Eyes_opened_right	Incisor_eruption
0	1	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	0.28	0	0	0	0	0	0	0
1	1	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	0.17	0	0	0	0	0	0	0
2	1	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	0.26	0	0	0	0	0	0	0
3	1	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	0.30	0	0	0	0	0	0	0
4	1	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	0.29	0	0	0	0	0	0	0
5	1	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	0.30	0	0	0	0	0	0	0
6	1	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	0.26	0	0	0	0	0	0	0
7	1	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	0.24	0	0	0	0	0	0	0
8	1	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	0.17	0	0	0	0	0	0	0
9	1	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	0.25	0	0	0	0	0	0	0
10	1	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	0.25	0	0	0	0	0	0	0
0	2	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	0.28	0	0	0	0	0	0	0
1	2	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	0.27	0	0	0	0	0	0	0
2	2	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	0.28	0	0	0	0	0	0	0
3	2	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	0.31	0	0	0	0	0	0	0
4	2	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	0.29	0	0	0	0	0	0	0
5	2	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	0.27	0	0	0	0	0	0	0
6	2	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	0.26	0	0	0	0	0	0	0
7	2	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	0.28	0	0	0	0	0	0	0
8	2	0	0	60.00	60.00	15.00	60.00	60.00	0	0	0	60.00	0.20	0	0	0	0	0	0	0
9	2	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	0.30	0	0	0	0	0	0	0
10	2	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	0.30	0	0	0	0	0	0	0
0	3	0	1	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	2.6	1	0	0	0	0	0	0
1	3	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	2.33	1	0	0	0	0	0	0
2	3	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	2.5	1	0	0	0	0	0	0
3	3	0	0	40.22	42.56	12.93	60.00	60.00	0	0	0	60.00	2.62	1	0	1	1	0	0	0
4	3	0	0	60.00	60.00	02.03	60.00	60.00	0	0	0	60.00	3.1	1	0	0	0	0	0	0
5	3	0	0	60.00	60.00	12.52	60.00	60.00	0	0	0	60.00	2.5	1	0	0	0	0	0	0
6	3	0	1	60.00	60.00	04.97	60.00	60.00	0	0	0	60.00	2.6	1	0	0	0	0	0	0
7	3	0	0	60.00	60.00	09.23	60.00	60.00	0	0	0	60.00	2.38	1	0	0	0	0	0	0
8	3	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	2.1	1	0	0	0	0	0	0
9	3	0	0	60.00	60.00	18.00	60.00	60.00	0	0	0	60.00	2.26	1	0	0	0	0	0	0
10	3	0	0	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	2.27	1	0	0	0	0	0	0
0	4	0	0	60.00	60.00	60.00	60.00	60.00	0	1	0	60.00	3.181	1	0	0	0	0	0	0
1	4	0	1	60.00	60.00	60.00	60.00	60.00	0	0	0	60.00	2.995	1	0	0	0	0	0	0
2	4	0	1	51.13	60.00	60.00	60.00	60.00	0	1	0	60.00	3.236	1	0	1	0	0	0	0
3	4	0	0	60.00	60.00	24.84	60.00	60.00	0	1	0	60.00	3.131	1	0	1	1	0	0	0
4	4	0	0	60.00	60.00	01.13	60.00	60.00	0	0	0	60.00	3.741	1	0	0	0	0	0	0
5	4	0	0	60.00	60.00	14.78	60.00	60.00	0	0	0	60.00	3.088	1	0	0	0	0	0	0
6	4	0	0	60.00	60.00	05.75	60.00	60.00	0	0	0	60.00	3.152	1	0	0	0	0	0	0
7	4	0	0	60.00	60.00	07.84	60.00	60.00	0	0	0	60.00	2.769	1	0	0	0	0	0	0
8	4	0	0	60.00	60.00	24.50	60.00	60.00	0	1	0	60.00	2.441	1	0	0	0	0	0	0
9	4	0	0	60.00	60.00	60.00	60.00	60.00	0	1	0	60.00	2.534	1	0	0	0	0	0	0
10	4	0	0	60.00	60.00	05.97	60.00	60.00	0	0	0	60.00	2.571	1	0	0	0	0	0	0
0	5	0	0	30.61	60.00	02.30	60.00	60.00	0	0	0	60.00	3.674	1	0	1	0	0	0	0
1	5	0	0	60.00	60.00	01.56	60.00	60.00	0	0	0	60.00	3.629	1	0	0	0	0	0	0
2	5	0	0	60.00	60.00	02.44	60.00	60.00	0	0	0	60.00	3.773	1	0	1	0	0	0	0
3	5	0	0	56.05	60.00	01.65	20.1	60.00	0	0	0	60.00	3.518	1	0	1	1	0	0	0
4	5	0	0	60.00	60.00	01.65	60.00	60.00	0	1	0	60.00	4.196	1	0	0	0	0	0	0
5	5	0	0	54.04	60.00	03.97	05.29	60.00	0	0	0	60.00	3.393	1	0	1	0	0	0	0
6	5	0	1	60.00	60.00	04.28	60.00	60.00	0	1	0	60.00	3.676	1	0	0	0	0	0	0
7	5	0	0	60.00	60.00	01.22	08.32	60.00	0	0	0	60.00	3.231	1	0	0	0	0	0	0
8	5	0	0	60.00	60.00	09.91	60.00	60.00	0	0	0	60.00	2.817	1	0	0	0	0	0	0
9	5	0	0	60.00	60.00	01.66	12.21	60.00	0	1	0	60.00	2.811	1	0	0	0	0	0	0
10	5	0	0	60.00	60.00	02.75	60.00	60.00	0	0	0	60.00	2.946	1	0	0	0	0	0	0
0	6	0	0	60.00	60.00	05.78	08.68	60.00	0	1	0	60.00	4.128	1	0	1	0	0	0	0
1	6	0	1	60.00	60.00	04.25	09.58	60.00	0	1	0	60.00	4.181	1	0	0	0	0	0	0
2	6	0	1	45.16	60.00	01.72	9.58	60.00	0	1	0	60.00	4.237	1	0	1	0	0	0	0
3	6	0	1	60.00	60.00	01.78	15.22	60.00	0	1	0	60.00	4.012	1	0	1	1	0	0	0
4	6	0	0	60.00	60.00	01.59	48.52	60.00	0	1	0	60.00	4.759	1	0	0	0	0	0	0
5	6	0	1	60.00	60.00	03.13	44.92	60.00	0	1	0	60.00	4.090	1	0	1	0	0	0	0
6	6	0	0	60.00	60.00	01.28	22.58	60.00	0	1	0	60.00	4.330	1	0	0	0	0	0	0
7	6	0	0	60.00	60.00	00.60	07.65	60.00	0	0	0	60.00	3.605	1	0	0	0	0	0	0
8	6	0	0	53.97	60.00	03.47	09.33	60.00	0	1	0	60.00	3.165	1	0	1	0	0	0	0
9	6	0	0	60.00	60.00	01.16	06.77	60.00	0	1	0	60.00	3.115	1	0	0	0	0	0	0
10	6	0	0	52.91	60.00	02.81	04.64	60.00	0	0	0	60.00	3.321	1	0	1	0	0	0	0
0	7	1	0	60.00	60.00	01.12	60.00	60.00	0	0	0	02.57	4.662	1	0	1	0	0	0	0
1	7	1	0	60.00	60.00	00.94	60.00	60.00	0	0	0	03.81	4.612	1	0	0	0	0	0	0
2	7	1	0	39.50	60.00	01.28	60.00	60.00	0	0	0	05.49	4.872	1	0	1	0	0	0	0
3	7	1	0	60.00	60.00	01.34	07.24	60.00	0	0	0	02.35	4.638	1	0	1	1	0	0	0
